#LIBRARY    ENDF/B-VIII.b4
#REACTION   U-235(N,EL)U-235-L0,SIG
#NUCLEUS    U-235
#MF         3
#MT         2
#E,eV        Sig,b        Interpolation
 8.75864     16.114       Lin-Lin
 8.76721     17.2274      Lin-Lin
 8.77443     18.0916      Lin-Lin
 8.78315     19.0157      Lin-Lin
 8.79125     19.7328      Lin-Lin
 8.79872     20.2607      Lin-Lin
 8.80495     20.5979      Lin-Lin
 8.81242     20.8791      Lin-Lin
 8.81865     21.014       Lin-Lin
 8.82488     21.0643      Lin-Lin
 8.83422     20.9974      Lin-Lin
 8.84356     20.7864      Lin-Lin
 8.85602     20.338       Lin-Lin
 8.87471     19.4576      Lin-Lin
 8.89962     18.1953      Lin-Lin
 8.9183      17.3278      Lin-Lin
 8.93699     16.5743      Lin-Lin
 8.95567     15.9352      Lin-Lin
 8.97124     15.4792      Lin-Lin
 8.98992     15.0074      Lin-Lin
 9.01795     14.4178      Lin-Lin
 9.04847     13.8883      Lin-Lin
 9.08397     13.365       Lin-Lin
 9.14251     12.6181      Lin-Lin
 9.17614     12.2547      Lin-Lin
 9.19743     12.0898      Lin-Lin
 9.21474     12.0249      Lin-Lin
 9.21985     12.0213      Lin-Lin
 9.23363     12.0513      Lin-Lin
 9.24691     12.1371      Lin-Lin
 9.26682     12.3577      Lin-Lin
 9.30256     12.8634      Lin-Lin
 9.32299     13.0828      Lin-Lin
 9.34035     13.1798      Lin-Lin
 9.35056     13.1964      Lin-Lin
 9.36588     13.1721      Lin-Lin
 9.3863      13.0727      Lin-Lin
 9.47213     12.4744      Lin-Lin
 9.52008     12.212       Lin-Lin
 9.592       11.9113      Lin-Lin
 9.65793     11.7146      Lin-Lin
 9.72866     11.5969      Lin-Lin
 9.82696     11.4757      Lin-Lin
 9.89888     11.3076      Lin-Lin
 9.98999     11.0311      Lin-Lin
 10.0801     10.7184      Lin-Lin
 10.1086     10.6828      Lin-Lin
 10.1333     10.7251      Lin-Lin
 10.1637     10.8693      Lin-Lin
 10.2055     11.1025      Lin-Lin
 10.234      11.1838      Lin-Lin
 10.2482     11.1922      Lin-Lin
 10.2815     11.1507      Lin-Lin
 10.4031     10.8567      Lin-Lin
 10.6        10.4994      Lin-Lin
 10.7794     10.2189      Lin-Lin
 10.9201     10.0077      Lin-Lin
 11.0608     9.72773      Lin-Lin
 11.1557     9.49591      Lin-Lin
 11.2524     9.19786      Lin-Lin
 11.314      8.95347      Lin-Lin
 11.358      8.73661      Lin-Lin
 11.4019     8.46581      Lin-Lin
 11.4354     8.20669      Lin-Lin
 11.4604     7.97128      Lin-Lin
 11.5223     7.28948      Lin-Lin
 11.5345     7.20224      Lin-Lin
 11.5426     7.17939      Lin-Lin
 11.5508     7.19786      Lin-Lin
 11.5582     7.26137      Lin-Lin
 11.5637     7.34467      Lin-Lin
 11.5705     7.49509      Lin-Lin
 11.5755     7.64217      Lin-Lin
 11.5804     7.82399      Lin-Lin
 11.5854     8.04278      Lin-Lin
 11.5903     8.30023      Lin-Lin
 11.5952     8.59733      Lin-Lin
 11.6002     8.9343       Lin-Lin
 11.6051     9.31042      Lin-Lin
 11.6121     9.91046      Lin-Lin
 11.6192     10.5777      Lin-Lin
 11.6288     11.5755      Lin-Lin
 11.651      13.9995      Lin-Lin
 11.6609     14.9887      Lin-Lin
 11.6693     15.7208      Lin-Lin
 11.6745     16.1086      Lin-Lin
 11.6812     16.5244      Lin-Lin
 11.6886     16.8687      Lin-Lin
 11.696      17.0847      Lin-Lin
 11.7034     17.1742      Lin-Lin
 11.7059     17.1772      Lin-Lin
 11.7133     17.1112      Lin-Lin
 11.7207     16.9441      Lin-Lin
 11.7306     16.5938      Lin-Lin
 11.7404     16.138       Lin-Lin
 11.7739     14.3377      Lin-Lin
 11.7871     13.6838      Lin-Lin
 11.8003     13.1104      Lin-Lin
 11.8135     12.6211      Lin-Lin
 11.8267     12.2088      Lin-Lin
 11.8356     11.9708      Lin-Lin
 11.8532     11.5664      Lin-Lin
 11.8708     11.2346      Lin-Lin
 11.8972     10.8283      Lin-Lin
 11.9201     10.5335      Lin-Lin
 11.9624     10.0682      Lin-Lin
 12.0963     8.7681       Lin-Lin
 12.1809     7.87491      Lin-Lin
 12.195      7.75031      Lin-Lin
 12.2091     7.66411      Lin-Lin
 12.2197     7.64305      Lin-Lin
 12.2276     7.6642       Lin-Lin
 12.2364     7.73872      Lin-Lin
 12.243      7.83983      Lin-Lin
 12.2496     7.98906      Lin-Lin
 12.2562     8.19588      Lin-Lin
 12.2609     8.38038      Lin-Lin
 12.2657     8.61328      Lin-Lin
 12.2706     8.89095      Lin-Lin
 12.2754     9.21765      Lin-Lin
 12.2797     9.55152      Lin-Lin
 12.2853     10.0556      Lin-Lin
 12.2909     10.6409      Lin-Lin
 12.2965     11.3119      Lin-Lin
 12.3022     12.0714      Lin-Lin
 12.3078     12.9205      Lin-Lin
 12.3135     13.8776      Lin-Lin
 12.3192     14.9234      Lin-Lin
 12.325      16.0518      Lin-Lin
 12.3332     17.7909      Lin-Lin
 12.3432     20.0718      Lin-Lin
 12.3627     24.6202      Lin-Lin
 12.37       26.2374      Lin-Lin
 12.3784     27.9438      Lin-Lin
 12.3844     29.0191      Lin-Lin
 12.3908     30.038       Lin-Lin
 12.3973     30.8811      Lin-Lin
 12.4032     31.4822      Lin-Lin
 12.4085     31.8829      Lin-Lin
 12.4154     32.2063      Lin-Lin
 12.4219     32.3019      Lin-Lin
 12.4284     32.209       Lin-Lin
 12.4348     31.9417      Lin-Lin
 12.4413     31.5186      Lin-Lin
 12.4499     30.7492      Lin-Lin
 12.4585     29.7966      Lin-Lin
 12.4715     28.1472      Lin-Lin
 12.4974     24.6566      Lin-Lin
 12.5103     23.0493      Lin-Lin
 12.5232     21.6169      Lin-Lin
 12.5319     20.7685      Lin-Lin
 12.5405     20.0045      Lin-Lin
 12.5526     19.0628      Lin-Lin
 12.5632     18.3586      Lin-Lin
 12.5738     17.7465      Lin-Lin
 12.5845     17.2067      Lin-Lin
 12.5988     16.5868      Lin-Lin
 12.6132     16.0633      Lin-Lin
 12.6276     15.6153      Lin-Lin
 12.6491     15.0513      Lin-Lin
 12.6707     14.5848      Lin-Lin
 12.6922     14.1912      Lin-Lin
 12.721      13.7551      Lin-Lin
 12.7497     13.4051      Lin-Lin
 12.7784     13.1366      Lin-Lin
 12.8071     12.9483      Lin-Lin
 12.8445     12.804       Lin-Lin
 12.9163     12.6191      Lin-Lin
 12.9738     12.3723      Lin-Lin
 13.0868     11.8028      Lin-Lin
 13.1459     11.5582      Lin-Lin
 13.1881     11.4279      Lin-Lin
 13.2409     11.3362      Lin-Lin
 13.3277     11.269       Lin-Lin
 13.3727     11.1866      Lin-Lin
 13.4465     10.9541      Lin-Lin
 13.5449     10.6107      Lin-Lin
 13.5976     10.4911      Lin-Lin
 13.6407     10.4567      Lin-Lin
 13.696      10.488       Lin-Lin
 13.8561     10.6675      Lin-Lin
 13.9159     10.7887      Lin-Lin
 13.9622     10.948       Lin-Lin
 14.0593     11.3631      Lin-Lin
 14.1074     11.5017      Lin-Lin
 14.1542     11.5527      Lin-Lin
 14.1593     11.5533      Lin-Lin
 14.2095     11.5178      Lin-Lin
 14.2699     11.4009      Lin-Lin
 14.3483     11.1724      Lin-Lin
 14.4087     10.9613      Lin-Lin
 14.4408     10.8854      Lin-Lin
 14.4509     10.8796      Lin-Lin
 14.471      10.9095      Lin-Lin
 14.4911     11.0074      Lin-Lin
 14.5092     11.1562      Lin-Lin
 14.5644     11.767       Lin-Lin
 14.5845     11.9249      Lin-Lin
 14.602      11.9944      Lin-Lin
 14.6107     12.0041      Lin-Lin
 14.6326     11.9645      Lin-Lin
 14.6633     11.8089      Lin-Lin
 14.7243     11.4501      Lin-Lin
 14.7789     11.2196      Lin-Lin
 14.849      11.0079      Lin-Lin
 15.1024     10.3972      Lin-Lin
 15.1765     10.1594      Lin-Lin
 15.261      9.8334       Lin-Lin
 15.2923     9.76526      Lin-Lin
 15.2981     9.76248      Lin-Lin
 15.3154     9.78058      Lin-Lin
 15.3328     9.8465       Lin-Lin
