#LIBRARY    ENDF/B-VIII.b4
#REACTION   U-235(N,G)U-236,SIG
#NUCLEUS    U-235
#MF         3
#MT         102
#E,eV        Sig,b        Interpolation
 2.09193     20.2455      Lin-Lin
 2.09447     18.8641      Lin-Lin
 2.09702     17.5976      Lin-Lin
 2.09956     16.4399      Lin-Lin
 2.10211     15.3844      Lin-Lin
 2.10465     14.4237      Lin-Lin
 2.1072      13.5503      Lin-Lin
 2.10974     12.7571      Lin-Lin
 2.11229     12.0366      Lin-Lin
 2.11483     11.3822      Lin-Lin
 2.11738     10.7875      Lin-Lin
 2.11992     10.2464      Lin-Lin
 2.12247     9.75361      Lin-Lin
 2.12501     9.3041       Lin-Lin
 2.12883     8.7014       Lin-Lin
 2.13265     8.17299      Lin-Lin
 2.13519     7.85641      Lin-Lin
 2.13901     7.42798      Lin-Lin
 2.14282     7.048        Lin-Lin
 2.14664     6.70954      Lin-Lin
 2.15046     6.4068       Lin-Lin
 2.15425     6.13659      Lin-Lin
 2.15804     5.89284      Lin-Lin
 2.16373     5.56959      Lin-Lin
 2.16942     5.28909      Lin-Lin
 2.17511     5.04402      Lin-Lin
 2.1808      4.82855      Lin-Lin
 2.18657     4.63551      Lin-Lin
 2.19234     4.46421      Lin-Lin
 2.20003     4.26419      Lin-Lin
 2.20772     4.09117      Lin-Lin
 2.21547     3.93943      Lin-Lin
 2.22327     3.80564      Lin-Lin
 2.23497     3.63416      Lin-Lin
 2.24672     3.49023      Lin-Lin
 2.25859     3.36774      Lin-Lin
 2.27045     3.26354      Lin-Lin
 2.28243     3.17336      Lin-Lin
 2.29847     3.07153      Lin-Lin
 2.31463     2.98664      Lin-Lin
 2.3309      2.9155       Lin-Lin
 2.35554     2.82945      Lin-Lin
 2.3804      2.76355      Lin-Lin
 2.4055      2.71413      Lin-Lin
 2.43095     2.67871      Lin-Lin
 2.45266     2.65893      Lin-Lin
 2.47702     2.64771      Lin-Lin
 2.48814     2.64648      Lin-Lin
 2.51834     2.65637      Lin-Lin
 2.54218     2.67975      Lin-Lin
 2.56602     2.72028      Lin-Lin
 2.58192     2.75932      Lin-Lin
 2.59781     2.81056      Lin-Lin
 2.6137      2.87711      Lin-Lin
 2.6296      2.9631       Lin-Lin
 2.64152     3.04354      Lin-Lin
 2.65344     3.14058      Lin-Lin
 2.66536     3.25704      Lin-Lin
 2.67728     3.39542      Lin-Lin
 2.6892      3.55706      Lin-Lin
 2.70112     3.74074      Lin-Lin
 2.72973     4.22776      Lin-Lin
 2.74093     4.40314      Lin-Lin
 2.7515      4.53836      Lin-Lin
 2.76072     4.62217      Lin-Lin
 2.76867     4.66421      Lin-Lin
 2.77627     4.67683      Lin-Lin
 2.78476     4.66014      Lin-Lin
 2.79529     4.60021      Lin-Lin
 2.80205     4.54397      Lin-Lin
 2.81556     4.40681      Lin-Lin
 2.83542     4.19675      Lin-Lin
 2.84734     4.09117      Lin-Lin
 2.85926     4.01146      Lin-Lin
 2.87118     3.96112      Lin-Lin
 2.88152     3.94198      Lin-Lin
 2.8839      3.94078      Lin-Lin
 2.89403     3.94898      Lin-Lin
 2.90416     3.97851      Lin-Lin
 2.91489     4.03293      Lin-Lin
 2.92681     4.12183      Lin-Lin
 2.93873     4.24216      Lin-Lin
 2.9498      4.38436      Lin-Lin
 2.96044     4.55182      Lin-Lin
 2.97109     4.75341      Lin-Lin
 2.97901     4.92868      Lin-Lin
 2.98694     5.12832      Lin-Lin
 2.99486     5.35544      Lin-Lin
 3.00279     5.61369      Lin-Lin
 3.01071     5.90732      Lin-Lin
 3.01864     6.2412       Lin-Lin
 3.02656     6.62079      Lin-Lin
 3.03251     6.93907      Lin-Lin
 3.03845     7.28906      Lin-Lin
 3.04439     7.67345      Lin-Lin
 3.05034     8.09479      Lin-Lin
 3.05628     8.55539      Lin-Lin
 3.06223     9.05704      Lin-Lin
 3.06995     9.77207      Lin-Lin
 3.07748     10.5363      Lin-Lin
 3.08501     11.3622      Lin-Lin
 3.0963      12.6918      Lin-Lin
 3.11215     14.6193      Lin-Lin
 3.12008     15.5303      Lin-Lin
 3.128       16.3464      Lin-Lin
 3.13347     16.8296      Lin-Lin
 3.13942     17.2612      Lin-Lin
 3.14449     17.5407      Lin-Lin
 3.1495      17.7284      Lin-Lin
 3.15445     17.8224      Lin-Lin
 3.15693     17.8344      Lin-Lin
 3.16154     17.7948      Lin-Lin
 3.16614     17.6757      Lin-Lin
 3.17219     17.4047      Lin-Lin
 3.17813     17.0221      Lin-Lin
 3.18407     16.5402      Lin-Lin
 3.19002     15.9771      Lin-Lin
 3.19695     15.2441      Lin-Lin
 3.22073     12.5088      Lin-Lin
 3.22865     11.6375      Lin-Lin
