#LIBRARY    ENDF/B-VIII.b4
#REACTION   O-16(N,EL)O-16-L0,SIG
#NUCLEUS    O-16
#MF         3
#MT         2
#E,eV        Sig,b        Interpolation
 1.68912E+06 2.67167      Lin-Lin
 1.68914E+06 2.8022       Lin-Lin
 1.68916E+06 2.95428      Lin-Lin
 1.68917E+06 3.12937      Lin-Lin
 1.68918E+06 3.32797      Lin-Lin
 1.6892E+06  3.5491       Lin-Lin
 1.68922E+06 3.87369      Lin-Lin
 1.68926E+06 4.65068      Lin-Lin
 1.68928E+06 4.88799      Lin-Lin
 1.6893E+06  5.09403      Lin-Lin
 1.6893E+06  5.20798      Lin-Lin
 1.68932E+06 5.29946      Lin-Lin
 1.68932E+06 5.36582      Lin-Lin
 1.68934E+06 5.40511      Lin-Lin
 1.68934E+06 5.41612      Lin-Lin
 1.68936E+06 5.39852      Lin-Lin
 1.68936E+06 5.35283      Lin-Lin
 1.68938E+06 5.2804       Lin-Lin
 1.68938E+06 5.18337      Lin-Lin
 1.6894E+06  4.99787      Lin-Lin
 1.68942E+06 4.77463      Lin-Lin
 1.68943E+06 4.5262       Lin-Lin
 1.68947E+06 3.83257      Lin-Lin
 1.68948E+06 3.58897      Lin-Lin
 1.6895E+06  3.36485      Lin-Lin
 1.68952E+06 3.16367      Lin-Lin
 1.68953E+06 2.98687      Lin-Lin
 1.68954E+06 2.83429      Lin-Lin
 1.68956E+06 2.70464      Lin-Lin
 1.68958E+06 2.59591      Lin-Lin
 1.68959E+06 2.50568      Lin-Lin
 1.68961E+06 2.42582      Lin-Lin
 1.68962E+06 2.35272      Lin-Lin
 1.68964E+06 2.2957       Lin-Lin
 1.68966E+06 2.25076      Lin-Lin
 1.68969E+06 2.20396      Lin-Lin
 1.68972E+06 2.15027      Lin-Lin
 1.6898E+06  2.06427      Lin-Lin
 1.6899E+06  1.95917      Lin-Lin
 1.68995E+06 1.91346      Lin-Lin
 1.69E+06    1.87869      Lin-Lin
 1.69005E+06 1.85844      Lin-Lin
 1.69009E+06 1.84807      Lin-Lin
 1.69025E+06 1.83792      Lin-Lin
 1.692E+06   1.7659       Lin-Lin
 1.696E+06   1.75267      Lin-Lin
 1.74629E+06 1.67327      Lin-Lin
 1.774E+06   1.6314       Lin-Lin
 1.796E+06   1.58845      Lin-Lin
 1.813E+06   1.55135      Lin-Lin
 1.814E+06   1.55034      Lin-Lin
 1.816E+06   1.55093      Lin-Lin
 1.818E+06   1.55646      Lin-Lin
 1.82E+06    1.5714       Lin-Lin
 1.822E+06   1.60471      Lin-Lin
 1.823E+06   1.6338       Lin-Lin
 1.824E+06   1.67672      Lin-Lin
 1.825E+06   1.74036      Lin-Lin
 1.826E+06   1.83577      Lin-Lin
 1.82675E+06 1.94225      Lin-Lin
 1.827E+06   1.98058      Lin-Lin
 1.82775E+06 2.14366      Lin-Lin
 1.828E+06   2.20234      Lin-Lin
 1.8285E+06  2.3672       Lin-Lin
 1.829E+06   2.54045      Lin-Lin
 1.8295E+06  2.7837       Lin-Lin
 1.83E+06    3.03667      Lin-Lin
 1.83038E+06 3.27767      Lin-Lin
 1.8315E+06  4.02233      Lin-Lin
 1.83188E+06 4.27304      Lin-Lin
 1.832E+06   4.34843      Lin-Lin
 1.8325E+06  4.54776      Lin-Lin
 1.833E+06   4.72904      Lin-Lin
 1.83322E+06 4.75429      Lin-Lin
 1.8333E+06  4.75488      Lin-Lin
 1.83383E+06 4.68621      Lin-Lin
 1.83399E+06 4.65761      Lin-Lin
 1.83415E+06 4.60576      Lin-Lin
 1.835E+06   4.28395      Lin-Lin
 1.836E+06   3.84414      Lin-Lin
 1.837E+06   3.45388      Lin-Lin
 1.838E+06   3.14195      Lin-Lin
 1.839E+06   2.90078      Lin-Lin
 1.84E+06    2.715        Lin-Lin
 1.841E+06   2.57064      Lin-Lin
 1.842E+06   2.457        Lin-Lin
 1.843E+06   2.36628      Lin-Lin
 1.844E+06   2.29285      Lin-Lin
 1.845E+06   2.23268      Lin-Lin
 1.846E+06   2.18282      Lin-Lin
 1.8475E+06  2.12335      Lin-Lin
 1.849E+06   2.07613      Lin-Lin
 1.851E+06   2.02881      Lin-Lin
 1.853E+06   1.99388      Lin-Lin
 1.856E+06   1.95799      Lin-Lin
 1.859E+06   1.93646      Lin-Lin
 1.862E+06   1.92599      Lin-Lin
 1.864E+06   1.92432      Lin-Lin
 1.867E+06   1.92979      Lin-Lin
 1.87E+06    1.94358      Lin-Lin
 1.873E+06   1.96853      Lin-Lin
 1.876E+06   2.00422      Lin-Lin
 1.878E+06   2.03624      Lin-Lin
 1.88E+06    2.0757       Lin-Lin
 1.882E+06   2.12379      Lin-Lin
 1.884E+06   2.18189      Lin-Lin
 1.886E+06   2.25147      Lin-Lin
 1.888E+06   2.33392      Lin-Lin
 1.89E+06    2.43021      Lin-Lin
 1.892E+06   2.54037      Lin-Lin
 1.894E+06   2.66258      Lin-Lin
 1.898E+06   2.92064      Lin-Lin
 1.9E+06     3.03565      Lin-Lin
 1.902E+06   3.12263      Lin-Lin
 1.904E+06   3.16867      Lin-Lin
