#LIBRARY    ENDF/B-VIII.b4
#REACTION   U-235(N,F),SIG
#NUCLEUS    U-235
#MF         3
#MT         18
#E,eV        Sig,b        Interpolation
 3.50079     34.2623      Lin-Lin
 3.50559     35.931       Lin-Lin
 3.5104      37.7659      Lin-Lin
 3.5152      39.7826      Lin-Lin
 3.52        41.9966      Lin-Lin
 3.52481     44.4225      Lin-Lin
 3.52961     47.0726      Lin-Lin
 3.53441     49.9554      Lin-Lin
 3.53922     53.0741      Lin-Lin
 3.54402     56.4243      Lin-Lin
 3.55122     61.8494      Lin-Lin
 3.56083     69.655       Lin-Lin
 3.57284     79.6603      Lin-Lin
 3.58052     85.6172      Lin-Lin
 3.58629     89.5294      Lin-Lin
 3.59061     92.0141      Lin-Lin
 3.59541     94.2126      Lin-Lin
 3.60022     95.7224      Lin-Lin
 3.60382     96.3532      Lin-Lin
 3.60742     96.5256      Lin-Lin
 3.61127     96.1866      Lin-Lin
 3.61559     95.1531      Lin-Lin
 3.61991     93.4406      Lin-Lin
 3.62351     91.5179      Lin-Lin
 3.62712     89.1758      Lin-Lin
 3.63132     85.9646      Lin-Lin
 3.63672     81.1921      Lin-Lin
 3.64213     75.8597      Lin-Lin
 3.6498      67.6985      Lin-Lin
 3.66157     54.9023      Lin-Lin
 3.66754     48.7163      Lin-Lin
 3.67152     44.8085      Lin-Lin
 3.6755      41.1085      Lin-Lin
 3.67968     37.4704      Lin-Lin
 3.68386     34.0966      Lin-Lin
 3.68699     31.7427      Lin-Lin
 3.69012     29.5397      Lin-Lin
 3.69361     27.2654      Lin-Lin
 3.69639     25.5738      Lin-Lin
 3.69918     23.9916      Lin-Lin
 3.70196     22.5145      Lin-Lin
 3.70475     21.1375      Lin-Lin
 3.70753     19.8555      Lin-Lin
 3.71032     18.6632      Lin-Lin
 3.7131      17.5552      Lin-Lin
 3.71606     16.467       Lin-Lin
 3.71873     15.5528      Lin-Lin
 3.72216     14.4733      Lin-Lin
 3.72558     13.4886      Lin-Lin
 3.72926     12.5278      Lin-Lin
 3.73204     11.8602      Lin-Lin
 3.73622     10.947       Lin-Lin
 3.73901     10.3919      Lin-Lin
 3.74263     9.72814      Lin-Lin
 3.74625     9.12406      Lin-Lin
 3.74987     8.57379      Lin-Lin
 3.75349     8.07215      Lin-Lin
 3.75767     7.5477       Lin-Lin
 3.76185     7.07549      Lin-Lin
 3.76602     6.64996      Lin-Lin
 3.7702      6.26619      Lin-Lin
 3.77438     5.91986      Lin-Lin
 3.77856     5.60713      Lin-Lin
 3.78274     5.3246       Lin-Lin
 3.78691     5.06921      Lin-Lin
 3.79109     4.83826      Lin-Lin
 3.79527     4.62931      Lin-Lin
 3.80084     4.38119      Lin-Lin
 3.80641     4.16375      Lin-Lin
 3.81198     3.97302      Lin-Lin
 3.81755     3.80556      Lin-Lin
 3.82312     3.65839      Lin-Lin
 3.82869     3.52893      Lin-Lin
 3.83426     3.41494      Lin-Lin
 3.84262     3.2688       Lin-Lin
 3.85098     3.14773      Lin-Lin
 3.85933     3.04733      Lin-Lin
 3.86769     2.96406      Lin-Lin
 3.87604     2.89505      Lin-Lin
 3.88719     2.82125      Lin-Lin
 3.89833     2.76429      Lin-Lin
