#   PRODUCT      ZAFP     FPS           Y          DY
# ----------- ------- ------- ----------- -----------
 33-As- 85    33085.      0.  1.2136E-03  7.7672E-04
 33-As- 86    33086.      0.  1.9923E-04  1.2751E-04
 33-As- 87    33087.      0.  5.0532E-04  3.2341E-04
 33-As- 88    33088.      0.  1.2430E-03  7.9551E-04
 33-As- 89    33089.      0.  1.5399E-06  9.8550E-07
 33-As- 90    33090.      0.  3.2781E-08  2.0980E-08
 33-As- 91    33091.      0.  2.3375E-09  1.4960E-09
 33-As- 92    33092.      0.  3.5476E-12  2.2705E-12
 33-As- 93    33093.      0.  2.8435E-13  1.8198E-13
 34-Se- 72    34072.      0.  0.0000E+00  0.0000E+00
 34-Se- 73    34073.      0.  0.0000E+00  0.0000E+00
 34-Se- 73-M  34073.      1.  0.0000E+00  0.0000E+00
 34-Se- 74    34074.      0.  0.0000E+00  0.0000E+00
 34-Se- 75    34075.      0.  0.0000E+00  0.0000E+00
 34-Se- 76    34076.      0.  3.0398E-13  1.9455E-13
 34-Se- 77    34077.      0.  2.7498E-12  1.7599E-12
 34-Se- 77-M  34077.      1.  1.8399E-11  1.1775E-11
 34-Se- 78    34078.      0.  2.4698E-09  1.5807E-09
 34-Se- 79    34079.      0.  1.0999E-07  7.0395E-08
 34-Se- 79-M  34079.      1.  1.6499E-08  1.0559E-08
 34-Se- 80    34080.      0.  4.8896E-06  3.1294E-06
 34-Se- 81    34081.      0.  1.0379E-05  2.3872E-06
 34-Se- 81-M  34081.      1.  6.9265E-05  1.5931E-05
 34-Se- 82    34082.      0.  3.7098E-04  2.9679E-05
 34-Se- 83    34083.      0.  1.4292E-03  8.5752E-05
 34-Se- 83-M  34083.      1.  3.3525E-04  2.0115E-05
 34-Se- 84    34084.      0.  6.3095E-03  1.2619E-04
 34-Se- 85    34085.      0.  4.4669E-03  2.8588E-03
 34-Se- 85-M  34085.      1.  4.4669E-03  2.8588E-03
 34-Se- 86    34086.      0.  8.3584E-03  2.3403E-04
 34-Se- 87    34087.      0.  7.3105E-03  2.9242E-04
 34-Se- 88    34088.      0.  2.6787E-03  1.6072E-04
 34-Se- 89    34089.      0.  4.8549E-04  5.3403E-05
 34-Se- 90    34090.      0.  1.2699E-04  8.1272E-05
 34-Se- 91    34091.      0.  6.6572E-06  4.2606E-06
 34-Se- 92    34092.      0.  4.1697E-07  2.6686E-07
 34-Se- 93    34093.      0.  2.4571E-08  1.5725E-08
 34-Se- 94    34094.      0.  1.7099E-10  1.0943E-10
 34-Se- 95    34095.      0.  6.6257E-13  4.2405E-13
 34-Se- 96    34096.      0.  1.2799E-13  8.1914E-14
 35-Br- 75    35075.      0.  0.0000E+00  0.0000E+00
 35-Br- 77    35077.      0.  0.0000E+00  0.0000E+00
 35-Br- 77-M  35077.      1.  0.0000E+00  0.0000E+00
 35-Br- 78    35078.      0.  4.9396E-14  3.1614E-14
 35-Br- 79    35079.      0.  3.1098E-12  1.9903E-12
 35-Br- 79-M  35079.      1.  1.0399E-11  6.6555E-12
 35-Br- 80    35080.      0.  3.7097E-10  2.3742E-10
 35-Br- 80-M  35080.      1.  1.1099E-09  7.1035E-10
 35-Br- 81    35081.      0.  8.8594E-08  5.6700E-08
 35-Br- 82    35082.      0.  3.8297E-07  2.4510E-07
 35-Br- 82-M  35082.      1.  1.6299E-07  1.0431E-07
 35-Br- 83    35083.      0.  1.9538E-04  3.1260E-05
 35-Br- 84    35084.      0.  1.8580E-04  2.0438E-05
 35-Br- 84-M  35084.      1.  1.6725E-04  1.3380E-05
 35-Br- 85    35085.      0.  2.3502E-03  1.4101E-04
 35-Br- 86    35086.      0.  2.2974E-03  6.4326E-05
 35-Br- 86-M  35086.      1.  2.2974E-03  1.4703E-03
 35-Br- 87    35087.      0.  1.2718E-02  3.5609E-04
 35-Br- 88    35088.      0.  1.3874E-02  2.7748E-04
 35-Br- 89    35089.      0.  1.0393E-02  4.1571E-04
 35-Br- 90    35090.      0.  5.5255E-03  3.3153E-04
 35-Br- 91    35091.      0.  2.2370E-03  2.4608E-04
 35-Br- 92    35092.      0.  2.6771E-04  1.7134E-04
 35-Br- 93    35093.      0.  3.0843E-05  1.9740E-05
 35-Br- 94    35094.      0.  1.6599E-06  1.0623E-06
 35-Br- 95    35095.      0.  2.5235E-08  1.6150E-08
 35-Br- 96    35096.      0.  1.9099E-08  1.2223E-08
 35-Br- 97    35097.      0.  3.4368E-12  2.1996E-12
 35-Br- 98    35098.      0.  1.3893E-10  8.8914E-11
 36-Kr- 77    36077.      0.  0.0000E+00  0.0000E+00
 36-Kr- 78    36078.      0.  0.0000E+00  0.0000E+00
 36-Kr- 79-M  36079.      1.  0.0000E+00  0.0000E+00
 36-Kr- 79    36079.      0.  0.0000E+00  0.0000E+00
 36-Kr- 80    36080.      0.  6.2496E-14  3.9997E-14
 36-Kr- 81    36081.      0.  9.4293E-12  6.0348E-12
 36-Kr- 81-M  36081.      1.  1.4099E-12  9.0234E-13
 36-Kr- 82    36082.      0.  3.3498E-10  2.1438E-10
 36-Kr- 83    36083.      0.  6.6295E-08  4.2429E-08
 36-Kr- 83-M  36083.      1.  1.5499E-08  9.9193E-09
 36-Kr- 84    36084.      0.  3.2498E-06  2.0798E-06
 36-Kr- 85    36085.      0.  2.5533E-04  4.0853E-05
 36-Kr- 85-M  36085.      1.  5.8906E-05  9.4249E-06
 36-Kr- 86    36086.      0.  8.7223E-04  6.9778E-05
 36-Kr- 87    36087.      0.  4.6337E-03  2.7802E-04
 36-Kr- 88    36088.      0.  1.7322E-02  6.9289E-04
 36-Kr- 89    36089.      0.  3.4385E-02  4.8138E-04
 36-Kr- 90    36090.      0.  4.3970E-02  6.1557E-04
 36-Kr- 91    36091.      0.  3.1560E-02  3.1560E-04
 36-Kr- 92    36092.      0.  1.6581E-02  4.6427E-04
 36-Kr- 93    36093.      0.  4.8631E-03  1.9452E-04
 36-Kr- 94    36094.      0.  8.6815E-04  9.5496E-05
 36-Kr- 95    36095.      0.  7.1870E-05  4.5997E-05
 36-Kr- 96    36096.      0.  3.7811E-04  2.4199E-04
 36-Kr- 97    36097.      0.  2.9698E-07  1.9006E-07
 36-Kr- 98    36098.      0.  1.6329E-05  1.0450E-05
 36-Kr- 99    36099.      0.  1.2276E-11  7.8566E-12
 36-Kr-100    36100.      0.  1.1499E-08  7.3595E-09
 36-Kr-101    36101.      0.  4.1358E-13  2.6469E-13
 37-Rb- 79    37079.      0.  0.0000E+00  0.0000E+00
 37-Rb- 81    37081.      0.  0.0000E+00  0.0000E+00
 37-Rb- 83    37083.      0.  2.2998E-12  1.4719E-12
 37-Rb- 84    37084.      0.  2.1599E-11  1.3823E-11
 37-Rb- 85    37085.      0.  2.3748E-05  1.5199E-05
 37-Rb- 86-M  37086.      1.  3.2248E-08  2.0639E-08
 37-Rb- 86    37086.      0.  3.2248E-08  2.0639E-08
 37-Rb- 87    37087.      0.  2.5018E-05  1.6012E-05
 37-Rb- 88    37088.      0.  2.2301E-04  1.7841E-05
 37-Rb- 89    37089.      0.  2.0454E-03  8.1817E-05
 37-Rb- 90    37090.      0.  1.3862E-03  8.3174E-05
 37-Rb- 90-M  37090.      1.  7.0662E-03  4.5224E-03
 37-Rb- 91    37091.      0.  2.2249E-02  3.1149E-04
 37-Rb- 92    37092.      0.  3.1317E-02  6.2635E-04
 37-Rb- 93    37093.      0.  3.0667E-02  4.2934E-04
 37-Rb- 94    37094.      0.  1.5665E-02  4.3861E-04
 37-Rb- 95    37095.      0.  7.6369E-03  3.0547E-04
 37-Rb- 96    37096.      0.  1.6842E-03  1.3474E-04
 37-Rb- 97    37097.      0.  3.7937E-04  3.0350E-05
 37-Rb- 98    37098.      0.  2.3588E-05  1.0615E-05
 37-Rb- 99    37099.      0.  4.6754E-07  2.9923E-07
 37-Rb-100    37100.      0.  3.4761E-04  2.2247E-04
 37-Rb-101    37101.      0.  1.5752E-08  1.0081E-08
 37-Rb-102    37102.      0.  1.4718E-11  9.4196E-12
 37-Rb-103    37103.      0.  2.3811E-13  1.5239E-13
 38-Sr- 83    38083.      0.  0.0000E+00  0.0000E+00
 38-Sr- 84    38084.      0.  0.0000E+00  0.0000E+00
 38-Sr- 85-M  38085.      1.  3.9247E-13  2.5118E-13
 38-Sr- 85    38085.      0.  3.9247E-13  2.5118E-13
 38-Sr- 86    38086.      0.  1.1899E-10  7.6155E-11
 38-Sr- 87    38087.      0.  1.0699E-08  6.8475E-09
 38-Sr- 87-M  38087.      1.  2.5098E-09  1.6063E-09
 38-Sr- 88    38088.      0.  7.6795E-07  4.9149E-07
 38-Sr- 89    38089.      0.  1.7520E-04  1.1213E-04
 38-Sr- 90    38090.      0.  7.3713E-04  4.4228E-05
 38-Sr- 91    38091.      0.  2.5048E-03  1.5029E-04
 38-Sr- 92    38092.      0.  1.0752E-02  6.4511E-04
 38-Sr- 93    38093.      0.  2.5697E-02  5.1394E-04
 38-Sr- 94    38094.      0.  4.5127E-02  6.3177E-04
 38-Sr- 95    38095.      0.  4.5373E-02  9.0746E-04
 38-Sr- 96    38096.      0.  3.5681E-02  7.1362E-04
 38-Sr- 97    38097.      0.  1.7207E-02  4.8179E-04
 38-Sr- 98    38098.      0.  8.0809E-03  4.8486E-04
 38-Sr- 99    38099.      0.  1.3316E-03  1.4647E-04
 38-Sr-100    38100.      0.  8.1524E-05  5.2175E-05
 38-Sr-101    38101.      0.  4.4861E-05  2.8711E-05
 38-Sr-102    38102.      0.  1.7299E-06  1.1071E-06
 38-Sr-103    38103.      0.  2.0575E-08  1.3168E-08
 38-Sr-104    38104.      0.  1.3099E-09  8.3834E-10
 38-Sr-105    38105.      0.  0.0000E+00  0.0000E+00
 38-Sr-106    38106.      0.  0.0000E+00  0.0000E+00
 38-Sr-107    38107.      0.  0.0000E+00  0.0000E+00
 38-Sr-108    38108.      0.  0.0000E+00  0.0000E+00
 39-Y - 85    39085.      0.  0.0000E+00  0.0000E+00
 39-Y - 87    39087.      0.  9.9993E-14  6.3996E-14
 39-Y - 88    39088.      0.  1.6999E-11  1.0879E-11
 39-Y - 89    39089.      0.  4.3997E-10  2.8158E-10
 39-Y - 89-M  39089.      1.  1.8799E-09  1.2031E-09
 39-Y - 90-M  39090.      1.  4.4847E-08  2.8702E-08
 39-Y - 90    39090.      0.  4.4847E-08  2.8702E-08
 39-Y - 91-M  39091.      1.  1.6499E-06  1.0559E-06
 39-Y - 91    39091.      0.  1.6499E-06  1.0559E-06
 39-Y - 92    39092.      0.  7.1483E-04  3.2167E-04
 39-Y - 93-M  39093.      1.  5.4334E-04  3.4774E-04
 39-Y - 93    39093.      0.  5.4334E-04  3.4774E-04
 39-Y - 94    39094.      0.  3.8983E-03  3.1187E-04
 39-Y - 95    39095.      0.  1.1054E-02  3.5373E-03
 39-Y - 96    39096.      0.  2.2439E-03  1.4361E-03
 39-Y - 96-M  39096.      1.  2.0195E-02  6.4624E-03
 39-Y - 97-M  39097.      1.  1.5702E-02  1.0050E-02
 39-Y - 97    39097.      0.  1.5702E-02  1.0050E-02
 39-Y - 98    39098.      0.  1.1063E-02  3.5402E-03
 39-Y - 98-M  39098.      1.  1.1063E-02  3.5402E-03
 39-Y - 99    39099.      0.  1.9493E-02  1.1696E-03
 39-Y -100    39100.      0.  5.6739E-03  3.6313E-03
 39-Y -101    39101.      0.  2.7800E-03  3.0580E-04
 39-Y -102    39102.      0.  2.6798E-03  1.7151E-03
 39-Y -103    39103.      0.  2.5828E-05  1.6530E-05
 39-Y -104    39104.      0.  5.6796E-06  3.6349E-06
 39-Y -105    39105.      0.  4.6700E-12  2.9888E-12
 39-Y -106    39106.      0.  4.9791E-17  3.1866E-17
 39-Y -107    39107.      0.  6.2799E-18  4.0191E-18
 39-Y -108    39108.      0.  9.1877E-21  5.8801E-21
 39-Y -109    39109.      0.  4.4582E-14  2.8532E-14
 39-Y -110    39110.      0.  7.9035E-16  5.0582E-16
 40-Zr- 87    40087.      0.  0.0000E+00  0.0000E+00
 40-Zr- 88    40088.      0.  0.0000E+00  0.0000E+00
 40-Zr- 89    40089.      0.  2.0699E-14  1.3247E-14
 40-Zr- 90-M  40090.      1.  2.0948E-12  1.3407E-12
 40-Zr- 90    40090.      0.  2.0948E-12  1.3407E-12
 40-Zr- 91    40091.      0.  4.4197E-10  2.8286E-10
 40-Zr- 92    40092.      0.  1.1898E-04  7.6148E-05
 40-Zr- 93    40093.      0.  1.3699E-06  8.7674E-07
 40-Zr- 94    40094.      0.  1.9495E-04  1.2477E-04
 40-Zr- 95    40095.      0.  1.2724E-03  2.0359E-04
 40-Zr- 96    40096.      0.  3.3705E-03  3.7076E-04
 40-Zr- 97    40097.      0.  1.0924E-02  6.5543E-04
 40-Zr- 98    40098.      0.  2.5736E-02  1.1581E-02
 40-Zr- 99    40099.      0.  3.5839E-02  8.2431E-03
 40-Zr-100    40100.      0.  4.9764E-02  1.5925E-02
 40-Zr-101    40101.      0.  2.7878E-02  1.1151E-03
 40-Zr-102    40102.      0.  1.7813E-02  7.1253E-04
 40-Zr-103    40103.      0.  4.9887E-03  3.1928E-03
 40-Zr-104    40104.      0.  8.2787E-04  1.3246E-04
 40-Zr-105    40105.      0.  1.1584E-03  7.4136E-04
 40-Zr-106    40106.      0.  1.6799E-08  1.0751E-08
 40-Zr-107    40107.      0.  1.5577E-09  9.9693E-10
 40-Zr-108    40108.      0.  3.0998E-12  1.9839E-12
 40-Zr-109    40109.      0.  3.8523E-09  2.4655E-09
 40-Zr-110    40110.      0.  9.2893E-11  5.9451E-11
 40-Zr-111    40111.      0.  2.1011E-14  1.3447E-14
 40-Zr-112    40112.      0.  8.8935E-16  5.6919E-16
 41-Nb- 89    41089.      0.  0.0000E+00  0.0000E+00
 41-Nb- 90    41090.      0.  0.0000E+00  0.0000E+00
 41-Nb- 91    41091.      0.  0.0000E+00  0.0000E+00
 41-Nb- 92    41092.      0.  2.2698E-13  1.4527E-13
 41-Nb- 93    41093.      0.  3.6197E-11  2.3166E-11
 41-Nb- 93-M  41093.      1.  8.4894E-12  5.4332E-12
 41-Nb- 94    41094.      0.  1.4599E-09  9.3433E-10
 41-Nb- 94-M  41094.      1.  1.0099E-09  6.4635E-10
 41-Nb- 95    41095.      0.  1.0599E-06  6.7835E-07
 41-Nb- 95-M  41095.      1.  2.4798E-07  1.5871E-07
 41-Nb- 96    41096.      0.  5.4396E-06  3.4813E-06
 41-Nb- 97    41097.      0.  1.0755E-04  1.7208E-05
 41-Nb- 97-M  41097.      1.  2.4468E-05  5.6277E-06
 41-Nb- 98    41098.      0.  1.1563E-03  7.4005E-04
 41-Nb- 98-M  41098.      1.  3.8549E-04  2.4672E-04
 41-Nb- 99    41099.      0.  2.9965E-04  3.2961E-05
 41-Nb- 99-M  41099.      1.  4.0658E-03  3.2526E-04
 41-Nb-100    41100.      0.  3.1890E-03  2.0410E-03
 41-Nb-100-M  41100.      1.  3.1890E-03  2.0410E-03
 41-Nb-101    41101.      0.  1.9162E-02  7.6650E-04
 41-Nb-102-M  41102.      1.  7.8944E-03  5.0524E-03
 41-Nb-102    41102.      0.  7.8944E-03  5.0524E-03
 41-Nb-103    41103.      0.  1.4103E-02  3.2437E-03
 41-Nb-104-M  41104.      1.  2.8522E-03  1.8254E-03
 41-Nb-104    41104.      0.  2.8522E-03  1.8254E-03
 41-Nb-105    41105.      0.  1.3861E-03  1.1089E-04
 41-Nb-106    41106.      0.  1.5737E-04  1.0072E-04
 41-Nb-107    41107.      0.  2.3137E-05  1.4808E-05
 41-Nb-108    41108.      0.  8.9994E-07  5.7596E-07
 41-Nb-109    41109.      0.  4.8358E-06  3.0949E-06
 41-Nb-110    41110.      0.  1.5299E-07  9.7913E-08
 41-Nb-111    41111.      0.  8.0021E-10  5.1214E-10
 41-Nb-112    41112.      0.  2.4903E-11  1.5938E-11
 41-Nb-113    41113.      0.  1.2896E-14  8.2532E-15
 41-Nb-114    41114.      0.  3.7433E-16  2.3957E-16
 42-Mo- 90    42090.      0.  0.0000E+00  0.0000E+00
 42-Mo- 91    42091.      0.  0.0000E+00  0.0000E+00
 42-Mo- 92    42092.      0.  0.0000E+00  0.0000E+00
 42-Mo- 93-M  42093.      1.  0.0000E+00  0.0000E+00
 42-Mo- 93    42093.      0.  0.0000E+00  0.0000E+00
 42-Mo- 94    42094.      0.  2.9998E-14  1.9199E-14
 42-Mo- 95    42095.      0.  4.9396E-12  3.1614E-12
 42-Mo- 96    42096.      0.  5.3296E-10  3.4110E-10
